TIME, FY_5,,
0.107235625,-458.521819,,
0.107435625,-459.376986,,
0.107635625,-460.232152,,
0.107835625,-461.087319,,
0.108035625,-461.942486,,
0.108235625,-462.797653,,
0.108435625,-463.65282,,
0.108635625,-464.507986,,
0.108835625,-465.363153,,
0.109035625,-466.21832,,
0.109235625,-467.073487,,
0.109435625,-467.928653,,
0.109635625,-468.78382,,
0.109835625,-469.638987,,
0.110035625,-470.494154,,
0.110235625,-471.349321,,
0.110435625,-472.204487,,
0.110635625,-473.059654,,
0.110835625,-473.914821,,
0.111035625,-474.769988,,
0.111235625,-475.625154,,
0.111435625,-476.480321,,
0.111635625,-477.335488,,
0.111835625,-478.190655,,
0.112035625,-479.045821,,
0.112235625,-479.900988,,
0.112435625,-480.756155,,
0.112635625,-481.611322,,
0.112835625,-482.466489,,
0.113035625,-483.321655,,
0.113235625,-484.176822,,
0.113435625,-485.031989,,
0.113635625,-485.887156,,
0.113835625,-486.742322,,
0.114035625,-487.597489,,
0.114235625,-488.452656,,
0.114435625,-489.307823,,
0.114635625,-490.16299,,
0.114835625,-491.018156,,
0.115035625,-491.873323,,
0.115235625,-492.72849,,
0.115435625,-493.583657,,
0.115635625,-494.438823,,
0.115835625,-495.29399,,
0.116035625,-496.149157,,
0.116235625,-497.004324,,
0.116435625,-497.85949,,
0.116635625,-498.714657,,
0.116835625,-499.569824,,
0.117035625,-500.424991,,
0.117235625,-501.280158,,
0.117435625,-502.135324,,
0.117635625,-502.990491,,
0.117835625,-503.845658,,
0.118035625,-504.700825,,
0.118235625,-505.555991,,
0.118435625,-506.411158,,
0.118635625,-507.266325,,
0.118835625,-508.121492,,
0.119035625,-508.976658,,
0.119235625,-509.831825,,
0.119435625,-510.686992,,
0.119635625,-511.542159,,
0.119835625,-512.397326,,
0.120035625,-513.252492,,
0.120235625,-514.107659,,
0.120435625,-514.962826,,
0.120635625,-515.817993,,
0.120835625,-516.673159,,
0.121035625,-517.528326,,
0.121235625,-518.383493,,
0.121435625,-519.23866,,
0.121635625,-520.093826,,
0.121835625,-520.948993,,
0.122035625,-521.80416,,
0.122235625,-522.659327,,
0.122435625,-523.514493,,
0.122635625,-524.36966,,
0.122835625,-525.224827,,
0.123035625,-526.079994,,
0.123235625,-526.935161,,
0.123435625,-527.790327,,
0.123635625,-528.645494,,
0.123835625,-529.500661,,
0.124035625,-530.355828,,
0.124235625,-531.210994,,
0.124435625,-532.066161,,
0.124635625,-532.921328,,
0.124835625,-533.776495,,
0.125035625,-534.631661,,
0.125235625,-535.486828,,
0.125435625,-536.341995,,
0.125635625,-537.197162,,
0.125835625,-538.052328,,
0.126035625,-538.907495,,
0.126235625,-539.762662,,
0.126435625,-540.617829,,
0.126635625,-541.472996,,
0.126835625,-542.328162,,
0.127035625,-543.183329,,
0.127235625,-544.038496,,
0.127435625,-544.893663,,
0.127635625,-545.748829,,
0.127835625,-546.603996,,
0.128035625,-547.459163,,
0.128235625,-548.31433,,
0.128435625,-549.169496,,
0.128635625,-550.024663,,
0.128835625,-550.87983,,
0.129035625,-551.734997,,
