TIME, FY_4,
0.106035625,-677.430115,
0.106235625,-678.710472,
0.106435625,-679.990832,
0.106635625,-681.271196,
0.106835625,-682.551562,
0.107035625,-683.831932,
0.107235625,-685.112304,
0.107435625,-686.39268,
0.107635625,-687.673059,
0.107835625,-688.953441,
0.108035625,-690.233826,
0.108235625,-691.514214,
0.108435625,-692.794604,
0.108635625,-694.074998,
0.108835625,-695.355395,
0.109035625,-696.635795,
0.109235625,-697.916198,
0.109435625,-699.196604,
0.109635625,-700.477012,
0.109835625,-701.757424,
0.110035625,-703.037838,
0.110235625,-704.318256,
0.110435625,-705.598676,
0.110635625,-706.879099,
0.110835625,-708.159525,
0.111035625,-709.439954,
0.111235625,-710.720386,
0.111435625,-712.000821,
0.111635625,-713.281258,
0.111835625,-714.561698,
0.112035625,-715.842142,
0.112235625,-717.122588,
0.112435625,-718.403036,
0.112635625,-719.683488,
0.112835625,-720.963942,
0.113035625,-722.244399,
0.113235625,-723.524859,
0.113435625,-724.805321,
0.113635625,-726.085787,
0.113835625,-727.366255,
0.114035625,-728.646725,
0.114235625,-729.927199,
0.114435625,-731.207675,
0.114635625,-732.488154,
0.114835625,-733.768635,
0.115035625,-735.049119,
0.115235625,-736.329606,
0.115435625,-737.610095,
0.115635625,-738.890588,
0.115835625,-740.171082,
0.116035625,-741.45158,
0.116235625,-742.73208,
0.116435625,-744.012582,
0.116635625,-745.293087,
0.116835625,-746.573595,
0.117035625,-747.854105,
0.117235625,-749.134618,
0.117435625,-750.415134,
0.117635625,-751.695652,
0.117835625,-752.976172,
0.118035625,-754.256695,
0.118235625,-755.537221,
0.118435625,-756.817749,
0.118635625,-758.09828,
0.118835625,-759.378813,
0.119035625,-760.659348,
0.119235625,-761.939887,
0.119435625,-763.220427,
0.119635625,-764.50097,
0.119835625,-765.781516,
0.120035625,-767.062064,
0.120235625,-768.342614,
0.120435625,-769.623167,
0.120635625,-770.903722,
0.120835625,-772.18428,
0.121035625,-773.46484,
0.121235625,-774.745402,
